"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","tconst","parentTitle"
"sqs061800007m4","Angel (S01, Ep7)","Television",1997,"USA","Drama",8.2,4.1,NA,"Buffy the Vampire Slayer"
"sqs061800009m4","The Puppet Show (S01, Ep9)","Television",1997,"USA","Drama",8.2,4.1,NA,"Buffy the Vampire Slayer"
"sqs061800010m4","Nightmares (S01, Ep10)","Television",1997,"USA","Drama",8.2,4.1,NA,"Buffy the Vampire Slayer"
"sqs061800011m4","Out of Mind, Out of Sight (S01, Ep11)","Television",1997,"USA","Drama",8.2,4.1,NA,"Buffy the Vampire Slayer"
"sqs061800012m4","Prophecy Girl (S01, Ep12)","Television",1997,"USA","Drama",8.2,4.1,NA,"Buffy the Vampire Slayer"
"sqs071800008m4","Dead Mans (S01, Ep3)","Television",2013,"GBR","Comedy",7.9,4,NA,"The Wrong Mans"
"sqs071800065m4","Jack (S01, Ep4)","Television",2017,"GBR","Drama",7.3,3.7,NA,"Tin Star"
"sqs091800144m4","The Fury (S01, Ep4)","Television",2017,"USA","Drama",8.3,4.2,NA,"Sneaky Pete"
"sqs091800145m4","Sam (S01, Ep5)","Television",2017,"USA","Drama",8.3,4.2,NA,"Sneaky Pete"
"sqs091800146m4","Coyote is Always Hungry (S01, Ep6)","Television",2017,"USA","Drama",8.3,4.2,NA,"Sneaky Pete"
"sqs091800147m4","Lieutenant Bernhardt (S01, Ep7)","Television",2017,"USA","Drama",8.3,4.2,NA,"Sneaky Pete"
"sqs091800148m4","The Roll Over (S01, Ep8)","Television",2017,"USA","Drama",8.3,4.2,NA,"Sneaky Pete"
"sqs061800008m4","I, Robot, You, Jane (S01, Ep8)","Television",1997,"USA","Drama",8.2,4.1,NA,"Unknown TV Show"
"sqs071800077m4","Ep 6 The Vanishing","Television",2017,"DEU","Drama",7.4,3.7,NA,"Unknown TV Show"
"sqs071800078m4","Ep 7 The Vanishing","Television",2017,"DEU","Drama",7.4,3.7,NA,"Unknown TV Show"
"sqs071800079m4","Ep 8 The Vanishing","Television",2017,"DEU","Drama",7.4,3.7,NA,"Unknown TV Show"
"sqs071800190m4","To Have and To Hold (Ep4)","Television",2018,"GBR","Comedy",8.5,4.3,NA,"Unknown TV Show"
"sqs081800172m4","Ep 3 Masters in Forbidden City","Television",2015,"CHN","Documentary",0,3.9,NA,"Unknown TV Show"
"sqs081800100m4","Chapter 10 (Ep2)","Television",2018,"USA","Drama",8.7,4.4,NA,"Unknown TV Show"
"sqs081800101m4","Chapter 11 (Ep3)","Television",2018,"USA","Drama",8.7,4.4,NA,"Unknown TV Show"
"sqs081800102m4","Chapter 12 (Ep4)","Television",2018,"USA","Drama",8.7,4.4,NA,"Unknown TV Show"
"sqs081800103m4","Chapter 13 (Ep5)","Television",2018,"USA","Drama",8.7,4.4,NA,"Unknown TV Show"
"sqs091800112m4","What's the Matter with Kansas? (Ep4)","Television",2017,"USA","Drama",8.3,4.2,NA,"Unknown TV Show"
"sqs091800113m4","Lotus 1-2-3 (Ep5)","Television",2017,"USA","Drama",8.3,4.2,NA,"Unknown TV Show"
"sqs091800115m4","The Committee On Human Rights (Ep7)","Television",2017,"USA","Drama",8.3,4.2,NA,"Unknown TV Show"
"sqs091800125m4","Chapter 18 (Ep10)","Television",2018,"USA","Drama",8.7,4.4,NA,"Unknown TV Show"
"sqs091800126m4","Chapter 19 (Ep11)","Television",2018,"USA","Drama",8.7,4.4,NA,"Unknown TV Show"
"sqs091800139m4","Ep 5 Save Me","Television",2018,"GBR","Drama",8,4,NA,"Unknown TV Show"
"sqs121800113m4","Ep 10 Ace vs. Ace","Television",NA,NA,NA,NA,NA,NA,"ACE VS ACE 2 王牌对王牌 第二季"
