"","uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","imdbID","runtimeMinutes","imdbRating","imdbVotes","oCountry"
"163","sqm101800074m4","The China Hustle","Movie",2017,"USA","Documentary",7.1,3.6,"tt7215388",82,7.1,1470,"USA"
"164","sqm101800075m4","Robin Williams: Come Inside My Mind","Movie",2018,"USA","Documentary",8.1,4.1,"tt7689966",116,8,4379,"USA"
"165","sqm101800002h7","Incredibles 2","Movie",2018,"USA","Family",8.2,4.1,"tt3606756",118,7.8,177437,"USA"
"166","sqm101800005h7","Tag","Movie",2018,"USA","Comedy",6.9,3.5,"tt2854926",100,6.6,71918,"USA"
"167","sqm101800083m4","Fight Back to School","Movie",1991,"CHN","Drama",7.1,3.6,"tt0103045",100,7.1,2904,"HKG"
"168","sqm101800084m4","Rangeela","Movie",1995,"IND","Comedy",7.5,3.8,"tt0114234",142,7.5,7989,"IND"
"169","sqm101800085m4","Sing Street","Movie",2016,"IRL","Drama",8,4,"tt3544112",106,8,72589,"IRL"
"170","sqm101800086m4","Ocean's Twelve","Movie",2004,"USA","Comedy",6.5,3.3,"tt0349903",125,6.5,327222,"USA"
"171","sqm101800087m4","Ocean's Thirteen","Movie",2007,"USA","Comedy",6.9,3.5,"tt0496806",122,6.9,293769,"USA"
"172","sqm101800088m4","Back to the Future","Movie",1985,"USA","Comedy",8.5,4.3,"tt0088763",116,8.5,913693,"USA"
"173","sqm101800092m4","Indiana Jones and the Temple of Doom","Movie",1984,"BEL","Action",7.6,3.8,"tt0087469",118,7.6,397514,"USA"
"174","sqm101800093m4","Indiana Jones and the Last Crusade","Movie",1989,"USA","Action",8.3,4.2,"tt0097576",127,8.2,621923,"USA"
"175","sqm101800094m4","Indiana Jones and the Kingdom of the Crystal Skull","Movie",2008,"USA","Action",6.2,3.1,"tt0367882",122,6.2,386561,"USA"
"176","sqm101800095m4","The Terminator (1984)","Movie",1984,"USA","Action",8,4,"tt0088247",107,8,716623,"GBR"
"177","sqm101800096m4","Terminator 2: Judgment Day","Movie",1991,"USA","Action",8.5,4.3,"tt0103064",137,8.5,890157,"USA"
"178","sqm101800097m4","Terminator 3: Rise of the Machines","Movie",2003,"USA","Action",6.3,3.2,"tt0181852",109,6.3,344486,"USA"
"179","sqm101800098m4","Terminator Salvation","Movie",2009,"USA","Action",6.6,3.3,"tt0438488",115,6.6,316762,"USA"
"180","sqm101800099m4","Terminator Genisys","Movie",2015,"USA","Action",6.5,3.3,"tt1340138",126,6.4,229789,"USA"
"181","sqm101800100m4","The Bourne Identity","Movie",2002,"USA","Action",7.9,4,"tt0258463",119,7.9,469195,"USA"
"182","sqm101800101m4","The Bourne Supremacy","Movie",2004,"USA","Action",7.8,3.9,"tt0372183",108,7.8,402418,"USA"
"183","sqm101800102m4","The Bourne Ultimatum","Movie",2007,"USA","Action",8,4,"tt0440963",115,8,575285,"USA"
"184","sqm101800103m4","The Bourne Legacy","Movie",2012,"USA","Action",6.7,3.4,"tt1194173",135,6.7,265365,"USA"
"185","sqm101800104m4","Jason Bourne","Movie",2016,"USA","Action",6.6,3.3,"tt4196776",123,6.6,186912,"USA"
"186","sqm111800001h7","Ant-Man and the Wasp","Movie",2018,"USA","Action",7.5,3.8,"tt5095030",118,7.1,195891,"USA"
"187","sqm111800003h7","The Meg","Movie",2018,"USA","Action",6.2,3.1,"tt4779682",113,5.7,97750,"CHN"
"188","sqm111800004m4","Mamma Mia! Here We Go Again","Movie",2018,"GBR","Comedy",7.3,3.7,"tt6911608",114,6.8,52862,"GBR"
"189","sqm111800005m4","Skyscraper","Movie",2018,"USA","Action",6.1,3.1,"tt5758778",102,5.9,70339,"USA"
"190","sqm111800006m4","The Equalizer 2","Movie",2018,"USA","Action",7.1,3.6,"tt3766354",121,6.8,83687,"USA"
"191","sqm111800007m4","Sicario: Day of the Soldado","Movie",2018,"USA","Drama",7.3,3.7,"tt5052474",122,7.1,83684,"USA"
"192","sqm111800008m4","The Spy Who Dumped Me","Movie",2018,"USA","Comedy",6.4,3.2,"tt6663582",117,6,41033,"USA"
"193","sqm111800009m4","Teen Titans Go! To the Movies","Movie",2018,"USA","Family",6.9,3.5,"tt7424200",84,6.8,10829,"USA"
"194","sqm111800010m4","The Darkest Minds","Movie",2018,"USA","Thriller",4.8,2.4,"tt4073790",104,5.7,18263,"USA"
"195","sqm111800011m4","Puzzle","Movie",2018,"USA","Drama",6.8,3.4,"tt6933454",103,6.8,2780,"USA"
"196","sqm111800013m4","Siberia","Movie",2018,"USA","Thriller",4.4,2.2,"tt6494418",104,4.3,7446,"CAN"
"197","sqm111800016m4","Return of the Hero","Movie",2018,"FRA","Comedy",6.4,3.2,"tt7064498",90,6.4,1875,"FRA"
"198","sqm111800017m4","303","Movie",2018,"DEU","Drama",8,4,"tt5451118",145,7.8,1917,"DEU"
"199","sqm111800018m4","Jim Button and Luke the Engine Driver","Movie",2018,"DEU","Family",6.7,3.4,"tt3072732",110,6.4,966,"DEU"
"200","sqm111800019m4","Dogman","Movie",2018,"ITA","Drama",7.7,3.9,"tt6768578",103,7.3,9768,"ITA"
"201","sqm111800020m4","Sara's Notebook","Movie",2018,"ESP","Thriller",6,3,"tt6599742",115,6,1695,"ESP"
"202","sqm111800022m4","The Guilty","Movie",2018,"DNK","Thriller",7.9,4,"tt6742252",85,7.6,17968,"DNK"
"203","sqm111800024m4","Animal World","Movie",2018,"CHN","Action",6.5,3.3,"tt7946836",132,6.5,2130,"CHN"
"204","sqm111800025m4","Detective Dee: The Four Heavenly Kings","Movie",2018,"CHN","Action",6.4,3.2,"tt6869538",132,6.3,1304,"CHN"
"205","sqm111800026m4","Forever Young","Movie",2018,"CHN","Drama",6.4,3.2,"tt2401825",150,6.5,631,"CHN"
"206","sqm111800027m4","Lobster Cop","Movie",2018,"CHN","Comedy",4.8,2.4,"tt8489090",94,5.1,83,"CHN"
"207","sqm111800028m4","The Forest of Wool and Steel","Movie",2018,"JPN","Drama",6.7,3.4,"tt6340698",134,6.7,61,"JPN"
"208","sqm111800030m4","One Cut of the Dead","Movie",2017,"JPN","Comedy",7.9,4,"tt7914416",96,7.9,4497,"JPN"
"209","sqm111800031m4","Shoplifters","Movie",2018,"JPN","Drama",8.1,4.1,"tt8075192",121,8.1,15514,"JPN"
"210","sqm111800032m4","Angrezi Mein Kehte Hain","Movie",2018,"IND","Drama",7,3.5,"tt6613812",104,6.8,794,"IND"
"211","sqm111800033m4","Tumhari Sulu","Movie",2017,"IND","Comedy",7,3.5,"tt6791730",150,7,3676,"IND"
"212","sqm111800034m4","Bhaskar Oru Rascal","Movie",2018,"IND","Action",4.5,2.3,"tt7088032",152,4.7,191,"IND"
"213","sqm111800035m4","Thiruttu Payale 2","Movie",2017,"IND","Thriller",6.8,3.4,"tt7505152",147,6.8,498,"IND"
"214","sqm111800039m4","Ranangan","Movie",2018,"IND","Drama",5.5,2.8,"tt8396318",131,5.3,37,"IND"
"215","sqm111800040m4","The Spy Gone North","Movie",2018,"KOR","Drama",6.5,3.3,"tt8290698",137,7.2,974,"KOR"
